sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131239,Array,System,2022-12-22 00:00:00,39.64891966958213,,3619711450.449219,1435176485.259277,Array3
20231121131239,Array,System,2022-12-23 00:00:00,39.8682660409678,,3619711450.449219,1443116190.980469,Array3
20231121131239,Array,System,2022-12-24 00:00:00,39.67115069265432,,3619711450.449219,1435981184.146973,Array3
20231121131239,Array,System,2022-12-25 00:00:00,39.329627118654265,,3619711450.449219,1423619016.23291,Array3
20231121131239,Array,System,2022-12-26 00:00:00,39.07440111940808,,3619711450.449219,1414380571.513672,Array3
20231121131239,Array,System,2022-12-27 00:00:00,38.75197875515181,,3619711450.449219,1402709812.275879,Array3
20231121131239,Array,System,2022-12-28 00:00:00,38.79407936294493,,3619711450.449219,1404233732.796875,Array3
20231121131239,Array,System,2022-12-29 00:00:00,39.00285327207241,,3619711450.449219,1411790745.891113,Array3
20231121131239,Array,System,2022-12-30 00:00:00,38.8900941587562,,3619711450.449219,1407709191.354981,Array3
20231121131239,Array,System,2022-12-31 00:00:00,38.789840039777495,,3619711450.449219,1404080281.530762,Array3
20231121131239,Array,System,2023-01-01 00:00:00,38.7515125214026,,3619711450.449219,1402692935.959473,Array3
20231121131239,Array,System,2023-01-02 00:00:00,38.73600386746304,,3619711450.449219,1402131567.437012,Array3
20231121131239,Array,System,2023-01-03 00:00:00,38.73814512661845,,3619711450.449219,1402209074.839844,Array3
20231121131239,Array,System,2023-01-04 00:00:00,38.69073918421982,,3619711450.449219,1400493116.514648,Array3
20231121131239,Array,System,2023-01-05 00:00:00,38.6770684180186,,3619711450.449219,1399998274.225098,Array3
20231121131239,Array,System,2023-01-06 00:00:00,38.68736052736885,,3619711450.449219,1400370818.885742,Array3
20231121131239,Array,System,2023-01-07 00:00:00,38.70420284332701,,3619711450.449219,1400980462.125,Array3
20231121131239,Array,System,2023-01-08 00:00:00,38.72106892504563,,3619711450.449219,1401590965.616211,Array3
20231121131239,Array,System,2023-01-09 00:00:00,38.7364921770342,,3619711450.449219,1402149242.834473,Array3
20231121131239,Array,System,2023-01-10 00:00:00,38.79186329176296,,3619711450.449219,1404153517.414551,Array3
20231121131239,Array,System,2023-01-11 00:00:00,38.73428930520048,,3619711450.449219,1402069505.230469,Array3
20231121131239,Array,System,2023-01-12 00:00:00,38.628209075525305,,3619711450.449219,1398229707.010254,Array3
20231121131239,Array,System,2023-01-13 00:00:00,38.61701753496624,,3619711450.449219,1397824605.535156,Array3
20231121131239,Array,System,2023-01-14 00:00:00,37.81583783262514,,3619711450.449219,1368824212.11084,Array3
20231121131239,Array,System,2023-01-15 00:00:00,37.717401692719655,,3619711450.449219,1365261107.883301,Array3
20231121131239,Array,System,2023-01-16 00:00:00,37.644884142838286,,3619711450.449219,1362636181.82666,Array3
20231121131239,Array,System,2023-01-17 00:00:00,37.72020528201571,,3619711450.449219,1365362589.726074,Array3
20231121131239,Array,System,2023-01-18 00:00:00,37.71194061091725,,3619711450.449219,1365063432.479981,Array3
20231121131239,Array,System,2023-01-19 00:00:00,37.72218587996241,,3619711450.449219,1365434281.656738,Array3
20231121131239,Array,System,2023-01-20 00:00:00,37.75939909273552,,3619711450.449219,1366781292.580566,Array3
20231121131239,Array,System,2023-01-21 00:00:00,37.41616836006777,,3619711450.449219,1354357330.448731,Array3
20231121131239,Array,System,2023-01-22 00:00:00,35.277303429530704,,3619711450.449219,1276936591.648438,Array3
20231121131239,Array,System,2023-01-23 00:00:00,34.830790704427265,,3619711450.449219,1260774119.410156,Array3
20231121131239,Array,System,2023-01-24 00:00:00,34.91774122310658,,3619711450.449219,1263921477.291016,Array3
20231121131239,Array,System,2023-01-25 00:00:00,34.90325466088627,,3619711450.449219,1263397105.539551,Array3
20231121131239,Array,System,2023-01-26 00:00:00,34.576529595385416,,3619711450.449219,1251570600.932129,Array3
20231121131239,Array,System,2023-01-27 00:00:00,31.462372770986452,,3619711450.449219,1138847109.774414,Array3
20231121131239,Array,System,2023-01-28 00:00:00,31.95036702691757,,3619711450.449219,1156511093.733887,Array3
20231121131239,Array,System,2023-01-29 00:00:00,31.8146360688694,,3619711450.449219,1151598024.703613,Array3
20231121131239,Array,System,2023-01-30 00:00:00,31.66430555772021,,3619711450.449219,1146156493.978027,Array3
20231121131239,Array,System,2023-01-31 00:00:00,29.76208868968442,,3619711450.449219,1077301732.193359,Array3
20231121131239,Array,System,2023-02-01 00:00:00,29.657064830320877,,3619711450.449219,1073500171.530273,Array3
20231121131239,Array,System,2023-02-02 00:00:00,30.29168879360013,,3619711450.449219,1096471727.796387,Array3
20231121131239,Array,System,2023-02-03 00:00:00,30.02829873163156,,3619711450.449219,1086937767.563965,Array3
20231121131239,Array,System,2023-02-04 00:00:00,30.012005479976708,,3619711450.449219,1086347998.868164,Array3
20231121131239,Array,System,2023-02-05 00:00:00,29.877637837257137,,3619711450.449219,1081484277.918945,Array3
20231121131239,Array,System,2023-02-06 00:00:00,29.76595045599584,,3619711450.449219,1077441516.990723,Array3
20231121131239,Array,System,2023-02-07 00:00:00,30.008409439360573,,3619711450.449219,1086217832.574219,Array3
20231121131239,Array,System,2023-02-08 00:00:00,29.968594398642,,3619711450.449219,1084776642.986328,Array3
20231121131239,Array,System,2023-02-09 00:00:00,30.105975534909035,,3619711450.449219,1089749443.706543,Array3
20231121131239,Array,System,2023-02-10 00:00:00,30.13215545457328,,3619711450.449219,1090697081.256348,Array3
20231121131239,Array,System,2023-02-11 00:00:00,30.199258245850512,,3619711450.449219,1093126008.675781,Array3
20231121131239,Array,System,2023-02-12 00:00:00,30.159016389180717,,3619711450.449219,1091669369.582031,Array3
20231121131239,Array,System,2023-02-13 00:00:00,30.162848550595942,,3619711450.449219,1091808082.767578,Array3
20231121131239,Array,System,2023-02-14 00:00:00,30.13783882810932,,3619711450.449219,1090902802.979004,Array3
20231121131239,Array,System,2023-02-15 00:00:00,30.405453034217405,,3619711450.449219,1100589665.040527,Array3
20231121131239,Array,System,2023-02-16 00:00:00,30.82390705816584,,3619711450.449219,1115736493.260254,Array3
20231121131239,Array,System,2023-02-17 00:00:00,30.934578635639504,,3619711450.449219,1119742485.022461,Array3
20231121131239,Array,System,2023-02-18 00:00:00,30.83696611376543,,3619711450.449219,1116209193.391113,Array3
20231121131239,Array,System,2023-02-19 00:00:00,30.874501993711487,,3619711450.449219,1117567883.935547,Array3
20231121131239,Array,System,2023-02-20 00:00:00,30.863766819812472,,3619711450.449219,1117179301.616699,Array3
20231121131239,Array,System,2023-02-21 00:00:00,30.759881589831664,,3619711450.449219,1113418956.051758,Array3
20231121131239,Array,System,2023-02-22 00:00:00,30.62827846771863,,3619711450.449219,1108655302.771484,Array3
20231121131239,Array,System,2023-02-23 00:00:00,30.50781745988051,,3619711450.449219,1104294961.877441,Array3
20231121131239,Array,System,2023-02-24 00:00:00,30.376082391107,,3619711450.449219,1099526532.508789,Array3
20231121131239,Array,System,2023-02-25 00:00:00,30.26799728117094,,3619711450.449219,1095614163.408203,Array3
20231121131239,Array,System,2023-02-26 00:00:00,30.194351433102558,,3619711450.449219,1092948396.212891,Array3
20231121131239,Array,System,2023-02-27 00:00:00,30.20364449349689,,3619711450.449219,1093284778.184082,Array3
20231121131239,Array,System,2023-02-28 00:00:00,30.2668678589302,,3619711450.449219,1095573281.582031,Array3
20231121131239,Array,System,2023-03-01 00:00:00,30.325150215012428,,3619711450.449219,1097682934.698731,Array3
20231121131239,Array,System,2023-03-02 00:00:00,30.345168807127173,,3619711450.449219,1098407549.969727,Array3
20231121131239,Array,System,2023-03-03 00:00:00,30.293082108231104,,3619711450.449219,1096522161.765625,Array3
